region_code,region_name,lat_min,lat_max,lon_min,lon_max,wkt,HWA_cihigh,HWA_cilow,HWA_estimate,HWA_iqr,HWD_cihigh,HWD_cilow,HWD_estimate,HWD_iqr,HWF_cihigh,HWF_cilow,HWF_estimate,HWF_iqr,HWM_cihigh,HWM_cilow,HWM_estimate,HWM_iqr,HWA_cihigh_deg2,HWA_cilow_deg2,HWA_estimate_deg2,HWA_iqr_deg2,HWD_cihigh_deg2,HWD_cilow_deg2,HWD_estimate_deg2,HWD_iqr_deg2,HWF_cihigh_deg2,HWF_cilow_deg2,HWF_estimate_deg2,HWF_iqr_deg2,HWM_cihigh_deg2,HWM_cilow_deg2,HWM_estimate_deg2,HWM_iqr_deg2,HWA_cihigh_deg3,HWA_cilow_deg3,HWA_estimate_deg3,HWA_iqr_deg3,HWD_cihigh_deg3,HWD_cilow_deg3,HWD_estimate_deg3,HWD_iqr_deg3,HWF_cihigh_deg3,HWF_cilow_deg3,HWF_estimate_deg3,HWF_iqr_deg3,HWM_cihigh_deg3,HWM_cilow_deg3,HWM_estimate_deg3,HWM_iqr_deg3,HWA_cihigh_deg4,HWA_cilow_deg4,HWA_estimate_deg4,HWA_iqr_deg4,HWD_cihigh_deg4,HWD_cilow_deg4,HWD_estimate_deg4,HWD_iqr_deg4,HWF_cihigh_deg4,HWF_cilow_deg4,HWF_estimate_deg4,HWF_iqr_deg4,HWM_cihigh_deg4,HWM_cilow_deg4,HWM_estimate_deg4,HWM_iqr_deg4,HWA_cihigh_deg5,HWA_cilow_deg5,HWA_estimate_deg5,HWA_iqr_deg5,HWD_cihigh_deg5,HWD_cilow_deg5,HWD_estimate_deg5,HWD_iqr_deg5,HWF_cihigh_deg5,HWF_cilow_deg5,HWF_estimate_deg5,HWF_iqr_deg5,HWM_cihigh_deg5,HWM_cilow_deg5,HWM_estimate_deg5,HWM_iqr_deg5
NEU,Northern Europe,48,75,-10,40,"POLYGON ((-10 48, -10 75, 40 75, 40 48, -10 48))",2.5,0.57,1.47,1.82,12.98,1.87,4.22,7.24,25.08,7.43,16.1,21.3,0.62,-0.53,0.32,0.43,5,1.14,2.94,3.64,25.96,3.74,8.44,14.48,50.16,14.86,32.2,42.6,1.24,-1.06,0.64,0.86,7.5,1.71,4.41,5.46,38.94,5.61,12.66,21.72,75.24,22.29,48.300000000000004,63.900000000000006,1.8599999999999999,-1.59,0.96,1.29,10,2.28,5.88,7.28,51.92,7.48,16.88,28.96,100.32,29.72,64.4,85.2,2.48,-2.12,1.28,1.72,12.5,2.8499999999999996,7.35,9.1,64.9,9.350000000000001,21.099999999999998,36.2,125.39999999999999,37.15,80.5,106.5,3.1,-2.6500000000000004,1.6,2.15
WAF,Western Africa,-12,18,-20,22,"POLYGON ((-20 -12, -20 18, 22 18, 22 -12, -20 -12))",1.76,1.18,1.48,1.55,32.09,2.01,13.3,17.06,37.92,7.53,26.4,30.35,1.16,0.33,0.65,0.77,3.52,2.36,2.96,3.1,64.18,4.02,26.6,34.12,75.84,15.06,52.8,60.7,2.32,0.66,1.3,1.54,5.28,3.54,4.4399999999999995,4.65,96.27000000000001,6.029999999999999,39.900000000000006,51.17999999999999,113.76,22.59,79.19999999999999,91.05000000000001,3.4799999999999995,0.99,1.9500000000000002,2.31,7.04,4.72,5.92,6.2,128.36,8.04,53.2,68.24,151.68,30.12,105.6,121.4,4.64,1.32,2.6,3.08,8.8,5.8999999999999995,7.4,7.75,160.45000000000002,10.049999999999999,66.5,85.3,189.60000000000002,37.65,132,151.75,5.8,1.6500000000000001,3.25,3.85
EAF,Eastern Africa,-12,18,22,52,"POLYGON ((22 -12, 22 18, 52 18, 52 -12, 22 -12))",2.5,1.09,1.45,1.56,34.49,2.45,16.8,21.98,37.22,8.62,25.5,28.38,1,0.24,0.67,0.79,5,2.18,2.9,3.12,68.98,4.9,33.6,43.96,74.44,17.24,51,56.76,2,0.48,1.34,1.58,7.5,3.2700000000000005,4.35,4.68,103.47,7.3500000000000005,50.400000000000006,65.94,111.66,25.86,76.5,85.14,3,0.72,2.0100000000000002,2.37,10,4.36,5.8,6.24,137.96,9.8,67.2,87.92,148.88,34.48,102,113.52,4,0.96,2.68,3.16,12.5,5.45,7.25,7.800000000000001,172.45000000000002,12.25,84,109.9,186.1,43.099999999999994,127.5,141.9,5,1.2,3.35,3.95
SAF,Southern Africa,-35,-12,10,52,"POLYGON ((10 -35, 10 -12, 52 -12, 52 -35, 10 -35))",2.47,1.22,1.53,1.63,12.98,2.76,6.55,7.81,31.14,14.84,22.5,24.78,0.98,0.29,0.59,0.7,4.94,2.44,3.06,3.26,25.96,5.52,13.1,15.62,62.28,29.68,45,49.56,1.96,0.58,1.18,1.4,7.41,3.66,4.59,4.89,38.94,8.28,19.65,23.43,93.42,44.519999999999996,67.5,74.34,2.94,0.8699999999999999,1.77,2.0999999999999996,9.88,4.88,6.12,6.52,51.92,11.04,26.2,31.24,124.56,59.36,90,99.12,3.92,1.16,2.36,2.8,12.350000000000001,6.1,7.65,8.149999999999999,64.9,13.799999999999999,32.75,39.05,155.7,74.2,112.5,123.9,4.9,1.45,2.9499999999999997,3.5
SAH,Sahara,18,30,-20,65,"POLYGON ((-20 18, -20 30, 65 30, 65 18, -20 18))",1.78,1.27,1.56,1.61,29.96,6.93,17.5,23.24,32.79,22,28.1,31.01,0.86,0.19,0.53,0.57,3.56,2.54,3.12,3.22,59.92,13.86,35,46.48,65.58,44,56.2,62.02,1.72,0.38,1.06,1.14,5.34,3.81,4.68,4.83,89.88,20.79,52.5,69.72,98.37,66,84.30000000000001,93.03,2.58,0.5700000000000001,1.59,1.71,7.12,5.08,6.24,6.44,119.84,27.72,70,92.96,131.16,88,112.4,124.04,3.44,0.76,2.12,2.28,8.9,6.35,7.800000000000001,8.05,149.8,34.65,87.5,116.19999999999999,163.95,110,140.5,155.05,4.3,0.95,2.6500000000000004,2.8499999999999996
SEA,Southeast Asia,-11,12,95,155,"POLYGON ((95 -11, 95 12, 155 12, 155 -11, 95 -11))",2.03,0.52,1.37,1.63,28.82,2.71,7.84,13.83,34.99,11.87,25.8,28.46,1.37,-0.02,0.47,0.66,4.06,1.04,2.74,3.26,57.64,5.42,15.68,27.66,69.98,23.74,51.6,56.92,2.74,-0.04,0.94,1.32,6.09,1.56,4.11,4.89,86.46000000000001,8.129999999999999,23.52,41.49,104.97,35.61,77.4,85.38,4.11,-0.06,1.41,1.98,8.12,2.08,5.48,6.52,115.28,10.84,31.36,55.32,139.96,47.48,103.2,113.84,5.48,-0.08,1.88,2.64,10.149999999999999,2.6,6.8500000000000005,8.149999999999999,144.1,13.55,39.2,69.15,174.95000000000002,59.349999999999994,129,142.3,6.8500000000000005,-0.1,2.3499999999999996,3.3000000000000003
EAS,East Asia,20,50,100,145,"POLYGON ((100 20, 100 50, 145 50, 145 20, 100 20))",2.23,1.18,1.54,1.71,17.65,2.02,4.82,5.96,29.82,12.4,20.2,23.11,0.79,0.11,0.45,0.53,4.46,2.36,3.08,3.42,35.3,4.04,9.64,11.92,59.64,24.8,40.4,46.22,1.58,0.22,0.9,1.06,6.6899999999999995,3.54,4.62,5.13,52.949999999999996,6.0600000000000005,14.46,17.88,89.46000000000001,37.2,60.599999999999994,69.33,2.37,0.33,1.35,1.59,8.92,4.72,6.16,6.84,70.6,8.08,19.28,23.84,119.28,49.6,80.8,92.44,3.16,0.44,1.8,2.12,11.15,5.8999999999999995,7.7,8.55,88.25,10.1,24.1,29.8,149.1,62,101,115.55,3.95,0.55,2.25,2.6500000000000004
SAS,South Asia,5,30,65,100,"POLYGON ((65 5, 65 30, 100 30, 100 5, 65 5))",NA,NA,NA,NA,19.77,3.88,7.84,13.55,29.54,12.25,23.4,25.55,NA,NA,NA,NA,NA,NA,NA,NA,39.54,7.76,15.68,27.1,59.08,24.5,46.8,51.1,NA,NA,NA,NA,NA,NA,NA,NA,59.31,11.64,23.52,40.650000000000006,88.62,36.75,70.19999999999999,76.65,NA,NA,NA,NA,NA,NA,NA,NA,79.08,15.52,31.36,54.2,118.16,49,93.6,102.2,NA,NA,NA,NA,NA,NA,NA,NA,98.85,19.4,39.2,67.75,147.7,61.25,117,127.75,NA,NA,NA,NA
CAS,Central Asia,30,50,40,75,"POLYGON ((40 30, 40 50, 75 50, 75 30, 40 30))",2.45,1.37,1.73,1.96,16.68,3.63,6.85,9.84,30.18,16.48,23.1,25.37,0.68,0.15,0.38,0.44,4.9,2.74,3.46,3.92,33.36,7.26,13.7,19.68,60.36,32.96,46.2,50.74,1.36,0.3,0.76,0.88,7.3500000000000005,4.11,5.1899999999999995,5.88,50.04,10.89,20.549999999999997,29.52,90.53999999999999,49.44,69.30000000000001,76.11,2.04,0.44999999999999996,1.1400000000000001,1.32,9.8,5.48,6.92,7.84,66.72,14.52,27.4,39.36,120.72,65.92,92.4,101.48,2.72,0.6,1.52,1.76,12.25,6.8500000000000005,8.65,9.8,83.4,18.15,34.25,49.2,150.9,82.4,115.5,126.85000000000001,3.4000000000000004,0.75,1.9,2.2
TIB,Tibet,30,50,75,100,"POLYGON ((75 30, 75 50, 100 50, 100 30, 75 30))",2.25,1.28,1.6,1.89,13.86,3.42,5.53,7.07,29.71,17.73,22.6,26.06,0.73,0.29,0.46,0.52,4.5,2.56,3.2,3.78,27.72,6.84,11.06,14.14,59.42,35.46,45.2,52.12,1.46,0.58,0.92,1.04,6.75,3.84,4.800000000000001,5.67,41.58,10.26,16.59,21.21,89.13,53.19,67.80000000000001,78.17999999999999,2.19,0.8699999999999999,1.3800000000000001,1.56,9,5.12,6.4,7.56,55.44,13.68,22.12,28.28,118.84,70.92,90.4,104.24,2.92,1.16,1.84,2.08,11.25,6.4,8,9.45,69.3,17.1,27.650000000000002,35.35,148.55,88.65,113,130.29999999999998,3.65,1.45,2.3000000000000003,2.6
NAS,North Asia,50,70,40,180,"POLYGON ((40 50, 40 70, 180 70, 180 50, 40 50))",2.63,0.46,1.81,2.06,9.87,1.43,4.49,5.71,24.81,7.84,16.9,20.9,0.65,-0.66,0.32,0.55,5.26,0.92,3.62,4.12,19.74,2.86,8.98,11.42,49.62,15.68,33.8,41.8,1.3,-1.32,0.64,1.1,7.89,1.3800000000000001,5.43,6.18,29.61,4.29,13.47,17.13,74.42999999999999,23.52,50.699999999999996,62.699999999999996,1.9500000000000002,-1.98,0.96,1.6500000000000001,10.52,1.84,7.24,8.24,39.48,5.72,17.96,22.84,99.24,31.36,67.6,83.6,2.6,-2.64,1.28,2.2,13.149999999999999,2.3000000000000003,9.05,10.3,49.349999999999994,7.1499999999999995,22.450000000000003,28.55,124.05,39.2,84.5,104.5,3.25,-3.3000000000000003,1.6,2.75
